Change,Analyst,Recommendation,Date
Maintains,Morgan Stanley,to Overweight,11/3/2017
Maintains,Canaccord Genuity,to Buy,11/3/2017
Maintains,Loop Capital,to Buy,11/3/2017
Maintains,Baird,to Outperform,11/3/2017
Upgrade,Rosenblatt,Neutral to Buy,11/3/2017
Initiated,HSBC,to Buy,10/25/2017
Upgrade,KeyBanc,Sector Weight to Overweight,10/16/2017
Maintains,Barclays,to Equal-Weight,10/13/2017
Maintains,PiperJaffray,Overweight to Overweight,9/22/2017
Maintains,Morgan Stanley,to Overweight,9/19/2017
Maintains,Nomura,to Buy,9/6/2017
Maintains,Nomura,to Buy,8/3/2017
Maintains,Barclays,to Equal-Weight,8/2/2017
Maintains,Deutsche Bank,to Hold,8/2/2017
Maintains,BMO Capital,to Outperform,8/2/2017
Maintains,UBS,to Buy,8/2/2017
Initiated,Loop Capital,to Buy,7/24/2017
Maintains,Morgan Stanley,to Overweight,7/17/2017
Downgrade,Mizuho,Buy to Neutral,9/23/2020
Downgrade,Pacific Crest,Overweight to Sector Weight,9/23/2020
Maintains,Morgan Stanley,Overweight to Overweight,4/19/2017
Maintains,Credit Suisse,Outperform to Outperform,4/18/2017
Maintains,Pacific Crest,to Overweight,4/4/2017
Maintains,Nomura,to Buy,3/24/2017
Downgrade,Needham,Strong Buy to Buy,3/24/2017
Maintains,Bernstein,Outperform to Outperform,3/21/2017
Maintains,Citigroup,to Buy,3/6/2017
Maintains,BTIG Research,Buy to Buy,9/23/2020
Downgrade,Barclays,Overweight to Equal-Weight,1/24/2017
Downgrade,OTR Global,to Negative,1/19/2017
Initiated,Guggenheim,to Buy,1/4/2017
Maintains,Goldman Sachs,to Buy,10/26/2016
Maintains,UBS,to Buy,10/12/2016
Maintains,Citigroup,to Buy,9/30/2016
Maintains,Barclays,to Overweight,9/29/2016
Maintains,RBC Capital,to Outperform,9/22/2016
Maintains,Nomura,to Buy,9/22/2016
Maintains,CLSA,to Buy,9/23/2020
Maintains,Credit Suisse,to Outperform,9/15/2016
Maintains,BTIG Research,to Buy,9/15/2016
Maintains,Morgan Stanley,to Outperform,9/14/2016
Maintains,Goldman Sachs,to Buy,9/13/2016
Maintains,Macquarie,to Outperform,9/8/2016
Maintains,Pacific Crest,to Outperform,9/8/2016
Maintains,William Blair,to Outperform,9/8/2016
Maintains,Deutsche Bank,to Hold,9/8/2016
Maintains,Stifel Nicolaus,to Buy,9/8/2016
Maintains,JP Morgan,to Overweight,9/8/2016
Maintains,Nomura,to Buy,9/8/2016
Maintains,Oppenheimer,to Perform,9/8/2016
Maintains,Bernstein,to Outperform,9/8/2016
Maintains,Drexel Hamilton,to Buy,9/8/2016
Maintains,Goldman Sachs,to Buy,9/8/2016
Maintains,UBS,to Buy,9/8/2016
Maintains,Citigroup,to Buy,9/8/2016
Maintains,Morgan Stanley,to Overweight,9/8/2016
Downgrade,Wells Fargo,Outperform to Market Perform,9/8/2016
Maintains,RBC Capital,to Outperform,8/11/2016
Downgrade,Daiwa Capital,Buy to Outperform,8/2/2016
Upgrade,Hilliard Lyons,Long-Term Buy to Buy,7/28/2016
Maintains,JP Morgan,to Overweight,7/27/2016
Maintains,Citigroup,to Buy,7/27/2016
Maintains,BMO Capital,to Outperform,7/27/2016
Maintains,Drexel Hamilton,to Buy,7/27/2016
Maintains,RBC Capital,to Outperform,7/27/2016
Maintains,Morgan Stanley,to Overweight,7/27/2016
Maintains,Credit Suisse,to Outperform,7/27/2016
Upgrade,Raymond James,Market Perform to Outperform,7/27/2016
Maintains,Brean Capital,to Buy,7/27/2016
Maintains,UBS,to Buy,7/27/2016
Maintains,BTIG Research,to Buy,7/27/2016
Maintains,UBS,to Buy,7/26/2016
Maintains,Barclays,to Overweight,7/15/2016
Initiated,Longbow Research,to Buy,7/6/2016
Maintains,Goldman Sachs,to Buy,6/2/2016
Maintains,UBS,to Buy,5/11/2016
Maintains,RBC Capital,to Outperform,4/27/2016
Maintains,PiperJaffray,to Overweight,4/27/2016
Maintains,Nomura,to Buy,4/27/2016
Maintains,FBN Securities,to Outperform,9/23/2020
Maintains,CLSA,to Buy,4/27/2016
Maintains,Morgan Stanley,to Overweight,4/27/2016
Maintains,Pacific Crest,to Overweight,4/27/2016
Maintains,Baird,to Outperform,4/27/2016
Maintains,Maxim Group,to Buy,4/27/2016
Maintains,Cowen & Co.,to Outperform,4/27/2016
Maintains,Goldman Sachs,to Buy,4/27/2016
Maintains,Macquarie,to Buy,4/27/2016
Downgrade,Oppenheimer,Outperform to Perform,4/27/2016
Maintains,Citigroup,to Buy,4/27/2016
Maintains,Barclays,to Overweight,4/27/2016
Maintains,Brean Capital,to Buy,4/27/2016
Maintains,PiperJaffray,to Overweight,4/26/2016
Maintains,BTIG Research,to Buy,4/26/2016
Maintains,Barclays,to Overweight,4/20/2016
Maintains,BTIG Research,to Buy,4/7/2016
Initiated,Needham,to Strong Buy,4/6/2016
Maintains,Credit Suisse,to Outperform,4/4/2016
Maintains,Brean Capital,to Buy,4/4/2016
Upgrade,Cowen & Co.,Market Perform to Outperform,3/30/2016
Maintains,CLSA,to Buy,3/10/2016
Maintains,Pacific Crest,to Overweight,3/7/2016
Maintains,FBR Capital,to Outperform,9/23/2020
Maintains,PiperJaffray,to Overweight,1/27/2016
Maintains,FBR Capital,to Outperform,1/27/2016
Maintains,Barclays,to Overweight,1/27/2016
Upgrade,Bank of America,to Buy,1/12/2016
Maintains,Deutsche Bank,to Hold,1/11/2016
Maintains,Oppenheimer,to Outperform,1/11/2016
Upgrade,Mizuho,Neutral to Buy,1/11/2016
Maintains,Canaccord Genuity,to Buy,1/8/2016
Maintains,Pacific Crest,to Overweight,1/8/2016
Maintains,RBC Capital,to Outperform,1/7/2016
Maintains,Cowen & Co.,to Market Perform,12/22/2015
Maintains,Barclays,to Overweight,12/14/2015
Initiated,BMO Capital,to Outperform,12/11/2015
Maintains,Goldman Sachs,to Buy,11/18/2015
Maintains,Credit Suisse,to Outperform,10/28/2015
Upgrade,Pacific Crest,Sector Weight to Overweight,10/28/2015
Maintains,Morgan Stanley,to Overweight,10/28/2015
Maintains,Barclays,to Overweight,10/28/2015
Upgrade,Maxim Group,Neutral to Buy,10/23/2015
Initiated,Barclays,to Overweight,10/14/2015
Maintains,Morgan Stanley,to Overweight,10/11/2015
Initiated,Drexel Hamilton,to Buy,10/1/2015
