Change,Analyst,Recommendation,Date
Maintains,Topeka, to,7/11/2013
Initiated,Susquehanna, to Positive,7/10/2013
Initiated,Citigroup, to Buy,7/9/2013
Maintains,Deutsche Bank, to Buy,7/9/2013
Initiated,Janney Capital, to Buy,6/25/2013
Maintains,JP Morgan, to Overweight,6/24/2013
Maintains,Evercore Partners, to Overweight,6/14/2013
Maintains,Cantor Fitzgerald, to Buy,6/3/2013
Maintains,Topeka, to Buy,5/16/2013
Maintains,Baird, to Outperform,5/16/2013
Maintains,Morgan Stanley, to Overweight,5/15/2013
Maintains,BGC Financial, to Hold,4/19/2013
Maintains,Canaccord Genuity, to Buy,4/19/2013
Maintains,Deutsche Bank, to Buy,4/19/2013
Maintains,Citigroup, to Buy,4/19/2013
Initiated,Topeka, to Buy,4/15/2013
Initiated,UBS, to Buy,4/2/2013
Maintains,Goldman Sachs, to Neutral,3/27/2013
Maintains,Credit Suisse, to Outperform,3/27/2013
Maintains,Pacific Crest, to Outperform,3/11/2013
Maintains,Jefferies, to Buy,3/5/2013
Maintains,PiperJaffray, to Overweight,3/1/2013
Upgrade,Bank of America, Neutral to Buy,2/27/2013
Maintains,CLSA, to Buy,2/21/2013
Maintains,Bernstein, to Outperform,2/21/2013
Maintains,Deutsche Bank, to Buy,2/21/2013
Downgrade,Pivotal Research, Buy to Hold,2/7/2013
Initiated,Sterne Agee, to Neutral,2/6/2013
Downgrade,Hilliard Lyons, Long-term Buy to Neutral,2/6/2013
Downgrade,Oracle Investment Research, Neutral to Sell,2/5/2013
Downgrade,BMO Capital, Outperform to Market Perform,2/4/2013
Maintains,Barclays, to Overweight,1/23/2013
Maintains,BGC Financial, to Hold,1/23/2013
Maintains,Wedbush, to Neutral,1/23/2013
Maintains,Canaccord Genuity, to Buy,1/23/2013
Maintains,BMO Capital, to Outperform,1/23/2013
Maintains,Goldman Sachs, to Neutral,1/23/2013
Maintains,Bank of America, to Neutral,1/23/2013
Maintains,Jefferies, to Buy,1/23/2013
